question,answer,context_id
What is the best title of this passage?,New life for liver patients,28140
How might I feel about this ?,Unhappy,3490
What might be the most suitable title for the passage?,Ugandan orphans turn tragedy into dance,23967
What is the reason my computer is hooked up in the lving room ?,I am painting the den .,28525
Why did the narrator have to hold a gross frog ?,To get a photo of it .,26590
Which can be the best title for the text?,Teenagers' lifestyle and their happiness.,48373
"After the author handed the meals to the homeless men, she   _  .",went back to her husband and son,18858
Who was with Stormy Daniels on her way to the fitness class?,Someone she was related to,29624
What may happen to me before the wedding ?,I took my time getting dressed .,23782
What might my office mates feel ?,They might be angry at me for making a scene,5640
What kind of ice-cream was Greg's favorite?,not enough information,45101
What does the writer mainly tell us?,Troubles always happen at the same time.,22757
What do we know about the head nurse?,The head nurse was responsible.,17710
Where did Tillerson learn of his firing?,Tweeter,42240
"When in high school, the author  _  .",drove to and from class every day,46422
How does the CER scheme work?,Developed countries can buy the right to produce more carbon emissions from developing countries that produce less.,2794
Which of the following statements is true about an average car according to the passage?,An ordinary car cannot run more than 15 miles with one gallon of gas.,23214
Who didn't need a random kiwi gawking at her?,Lady Gaga,8993
Why might they still use their mini purse ?,It helps them conceal their sanitary products .,17665
Why is the narrator feeling that they are being poked ?,Their acquaintance is trying to get them to stay .,8871
Why did Robert Reich decide to resign?,Because he wanted to spend more time with his family.,32183
What did Kim Jong Un think of his visit to South Korea?,not enough information,26695
What may be a plausible fact about me ?,I was travelling by plane .,22233
People would like to go to Ross's house in Philadelphia to   _  .,remember her as the creator of the first American flag,58308
Which word can not be used to describe the boy's father?,generous,59555
"What were my "" own devices "" ?",Getting my own dinner and entertaining myself .,45480
What might be a fact about this person 's occupation ?,They do work as a freelancer .,59628
What is the advice for one who cannot sleep well after taking the medicine?,Take less than the normal amount.,22559
How does the author sound when writing the passage?,Encouraging.,33820
What is probably true about the episode of EastEnders that was celebrating the show's 30 year birthday?,probably it was widely watched in Britain,7799
What kind of messages did the software produce?,Completely illogical and non sensical,44875
Which of the following is TRUE of the researchers from the DWP?,They want to know what parents really need in the face of economic difficulties.,9918
"After the story ends, what do you think readers purchase?",exfoliating facial cleanser,37613
Why is the narrator beaming with gratitude ?,They are grateful for their pals .,27499
What does the study in the Journal of Happiness Studies find?,Americans get more happiness from work than Europeans.,50238
What is author's purpose in writing to alcohol?,To show how much alcohol can hurt people.,35813
The author is implying that  _  .,watching television isn't better than playing outdoors,2989
When was Oxford University probably founded?,In AD 1167.,55738
Patch began to look for acorns:,right after he woke up in the morning,51602
Why was the bike stolen ?,It was left unlocked by the narrator .,53715
why did the author do this?,to prove he could,50818
On his return. Rick  _  .,had not changed much,15487
The author and Femando left for the beach early because  _  .,the hotel disappointed them,19436
Who might be most interested in this piece of information?,School education,33617
Why did the Pakistani driver refuse to take the author to the middle of the George Washington Bridge?,Because he thought that the author would commit suicide.,11148
What does Harrison Ford do?,He is an actor.,25355
Which of the following is TRUE about rock climbing?,Climbers do rock climbing in groups.,53649
Which best describes the writer's tone in the passage?,Encouraged,29203
Why might I choose a house instead of an apartment ?,Because I want to own a house and build equity and wealth .,48793
What must be my occupation ?,I must be an IT professional .,34380
What does the narrator like to see while on vacation ?,They like historical sights .,34857
"According to the author, the best time for a kid to play video games is   _  .",Sunday,57368
Where was the King spending his last moments of life?,Chateau Pontoise-les-Noyons,16689
What may be a fact about the speaker ?,They used to get in trouble with the bride .,6283
What can we learn from the text?,Most British businessmen thought poorly of the London Games.,50031
The narrator's opinion of Microsoft changed because:,"after new CEO, they support open source",28640
The writer thinks learning about computers is like learning how to ride a bike or drive a car because   _  .,it leads people to new life experiences,3009
Why may the narrator be grateful for Jess ?,Jess got them up .,52207
"The phrase ""be well on with ......"" (Para .1) most probably means   _  .",have achieved a great deal in,5993
What probably has magical powers?,The red leaves.,58128
What is the reason she will quit her job ?,She will be a housewife to save day care fees .,23584
How long did his dad wait for him in the driveway?,Less than an hour.,37524
The author put forward the 4/3/2 technique just to show that    _   .,it is really a good way to make you a better speaker,18543
What did the writer do after adding the chopped nuts ?,They stirred the batter .,56352
What can be inferred about Bryan's mom from the passage?,She accepted Patch at last.,45478
"From the author's viewpoint, what should international volunteers avoid?",Placing themselves above the locals.,15269
We can learn from the text that   _  .,Fabien's Mission 31 broke the records of former ocean explorations,57811
The passage mainly tells us   _  .,an unusual reunion of old graduates,14245
What will happen if the car breaks down ?,Jai will call travel assistance to find out what to do .,7121
Why would the narrator choose to avoid seafood ?,The narrator was trying to get a cheap meal .,56131
What may be my career ?,I am a doctor .,41815
What can we infer from the passage?,The opponent team let Shay score purposely.,17
Why would she fear a rejection from a man who 's giving her a ride ?,None of the above choices .,44428
"What is causing Kate , Charlie and Jin 's anxiety ?","Kate , Charlie and Jin have to oversee a birth .",4310
Who walked back to the house?,the woman and her dog,14069
The DMV canceled many permits because  _  .,some people who have the placards have died,10045
What kind of schooling are they likely to be attending ?,College,48624
How long did it take Larisa to get her PhD?,Six years,26108
When did Trump say that his supporters had become a little bit complacent?,after he had been elected president,59191
Why was the narrator miffed at the TV show ?,The show docked their favorite act .,44488
What can't a smart home do according to the passage?,Getting the owner some food.,9500
Mr Brown said that we had to take a fast look at the fire because  _  .,it was very hot,32204
"Immediately after the end of this text, the Vietnamese woman is:",gone,46651
How long do most patients stay in admissions?,12 hours,714
Which of the stages did you like the best ?,"Well , the intimate one was ... intimate .",38943
What is one common thing that all the four children have to deal with at school?,Getting along with their classmates.,52069
The result of the investigation showed that   _  .,many women believed that wives who used instant coffee were lazy,25236
what did trump want for lunch,not enough information,25825
How may I be feeling right now ?,Content,4887
Why is Emma dressed up ?,The weather has dipped .,21443
Which of the following is true according to the passage?,Faust's desire for improvement and willingness to try out new ideas has given her success.,3659
Why did the narrator get such poor sleep ?,They were fighting with Adam .,54530
"In many parts of the world, forests slowly disappear because  _  .",all the above,48545
The passage seems to suggest that we should  _  .,wash hands with soap after a cough or sneeze,25070
Some reporters of the tabloids were considered to be   _  .,gossip reporters,38195
Why may the pastor have taught the classes ?,To help parents understand their children better .,7357
Who should you contact if you want to rent long term?,Daniel.,14811
"According to the passage,when Andy began his class that day he would  _  .",have a nice day,18142
What do the gamblers probably do with their winnings?,not enough information,49726
What sort of story are the players imagining as they play their game ?,These folks are playing a game that is based on the Harry Potter novels by Rowling .,50927
"When both the lion and the jackal had family,  _  .",the lioness began to complain about the friendship,56837
When was the Supreme Court deciding on whether the government can track cell phone movements?,after Timothy Carpenter was convicted of robberies in 2010 and 2011,15222
Why has getting the dates messed up upset the speaker to this extent ?,They spent a lot of energy preparing for the wrong event,22101
What was the inspiration for the selfies?,David Hockney's photocollages.,56686
How did Bassett feel after she lost her first race?,Confident.,2025
What type of writing is this passage?,A scientific report.,12346
what may be a plausible fact about me and my acts ?,I have had a bachelorette party,24172
Why did Eric get a bonus despite only working their for a short time ?,Because he is a dedicated worker and had already contrbuted great things,59252
What might this person 's problem be ?,They are overworked,29744
Who sponsors the restoration of the American Family Immigration History Center?,"The Statue of Liberty-Ellis Island Foundation, Inc.",4787
Why is Ruta grateful to Stephen ?,Stephen has done so much for her .,24069
The student wanted to play the poor man a trick to   _  .,amuse himself,35779
Why were the people around the coffee table acting like duds ?,They did not know each other .,39853
What is Zack trying to do ?,Zack is trying to build a paper duck .,47056
Where can people enjoy the rock music?,"Kyiv, Pyrohovo folk museum.",33386
What is the reason that Jenn does n't understand the nature of her friend 's relationship ?,"The speaker has not , as of yet , let Jenn know the details of how things are going with Brian",7404
How long did the woman probably speak to the crowd for?,Several minutes,15966
"What most likely "" helped a lot "" ?",The writer is referring to the Mucinex D helping their cold and allergy symptoms .,31452
What happened to Andrew to cause this narrative ?,Andrew is not with us .,20821
Which of the following may Mr. Myrus agree with?,"Whatever you do, spare no effort.",9508
"According to the passage, ""it is nice to watch an underdog"" probably means  _  .",it's amazing to watch an ordinary man challenging himself,52696
The businessman is:,not enough information,49247
What can be said about the person who wrote this post .,They are very religious .,40237
What might happen after they finish working on the blog ?,They will get ready for school tomorrow,8377
Which of the following statements is INCORRECT?,Double stars can provide steady light and heat.,25409
"By making a plan, the author mean   _  .",organizing your time and finishing urgent things first,5117
What led the speaker 's daughter to recommend that her parent download the file ?,She thought it would be helpful and therapeautic for the speaker to see the file,9074
The speaker could be described as someone who,Knows how to use words,24710
We can infer from the text that the Fun-Vii   _  .,will make car paint industry face a difficult situation,20708
What could the fingerprint examiner memorize?,fingerprints,23328
Where may I be currently working ?,A mine,39723
What country may I currently be living in ?,Australia,1828
How did Brittany deal with Jessica ?,She tried to make up with Jessica actively,53885
What might the student be a fan of ?,Indiana Jones,28162
The senior villager predicted the changes of the weather  _  while camping in a wilderness that night.,by burning salt in fire,4052
How did the narrator spend their day ?,They spent it watching films .,59872
"According to the passage, what can we learn about gray wolves?",They can help keep the balance of nature,47875
What may have happened next in the speaker 's story ?,They filled out a VIP card .,38241
What state may i be current in ?,Massachusetts,59638
What is the passage mainly about?,A general introduction to the restaurant.,45006
What may be a fact about this person ?,They are trying to shed off extra weight .,55712
Why was the girl child so upset so upset at the bus station ?,She had not seen her mother since Christmas and was upset it had been so long .,40158
Which of the following is TRUE according to the text?,No better resolution of the problems has been thought out.,48490
.The writer argued with her father because   _  .,her father wanted her to marry a rich man while she didn't,3046
Why would the narrator cry at the wedding ?,They were caught up by the love of the couple .,44682
A mystery story adapted from Agatha Christie's novel will be shown on   _  .,ITV 1,35928
"According to Lee, those hand washers consider justifying their choice   _  .",unnecessary,25835
What would be the best title for the passage?,Nature of Attitude.,47941
How do love shoppers meet one another?,They go through a special checkout.,59139
Stratfordis   _  .,in the middle of England,57228
Why does the writer talk about feedback?,because they need it,31380
Who was invited ?,Aunts,33545
In which section of a newspaper can you read this passage?,Health Care,13107
Where might I be from ?,India,51084
Why does the narrator seem to like the book ?,They like geeky things .,41870
Who thinks the letter is too harsh?,Jan,25562
Activities concerning children's books are to be held,"on June 24, 2015",54012
What could be happening to the speaker ?,They are dreaming .,55247
Why do more customers return their purchases bought online?,They had no chance to touch them when shopping online.,38640
The mom believes that,people are after her kid,81
"In this passage the word ""genius"" means   _  .",a person with special ability,20556
What may be the reason she is holding an acceptance letter ?,She applied to a university .,24459
What may the religion that I believe in ?,The religion is Christianity .,17893
Which is the best title for the text?,What to Blog about?,1947
What is probably true about the substitute teacher?,She enjoys teaching,4251
Who most probably is the maker of this speech?,Queen of Great Britain.,30327
Who was married in a Baptist church?,The authors parents,49096
the car accident probably lasted,a few minutes,12337
Which of the following is true of the narrator ?,They are hesitant to dominate .,25575
"During the middle of the Edo era, from 1603 to 1868, Japanese commoners were used to having all of the following EXCEPT   _  .",Chinese tea,6136
"According to the passage, what made the man's experience believable?",His reasonable behavior.,49994
Why would the narrator not want Nick to run away ?,The narrator wants a serious conversation with Nick .,44882
How do I know Jack ?,Jack is a teammate of mine,13120
Robert Bruce is put in the passage to show that   _  .,we should face failure directly and overcome difficulties,11445
What may be a fact about this person ?,They are a fan of the Dr. Who show .,6012
The passage informs us that self-driving cars   _  .,will probably decrease traffic jams,12714
When will the tax plan be made law?,After the start of the Russia investigation.,41642
"What does ""that view"" in Para. 3 refer to?",How we write is as important as what we write.,21383
"Paul went to college to study the science of plants, because   _  .",he thought his knowledge would make his advice more convincing,24131
Why would the person they bought the house from be upset ?,They did n't acknowledge a death .,52138
"To buy 25 pretzels, the author should pay   _  .",$25,44182
"In Paragraph 1,the author proves his point through   _",people's common experience,8636
How long might the blue flower bloom in spring?,About two weeks,15686
What information can you get from the text?,You can write to Thompson only in English.,18287
What's the writer's attitude towards the new device?,Optimistic.,28156
Why would some choose to avoid Bill at school ?,Bill is aggressive .,3656
Why is the narrator feeling so famished ?,They initially skipped the most important meal of the day .,12172
What is true about her parents?,They had affairs with multiple other people,14305
"According to the passage, eating together indicates all the following EXCEPT_.",the type of food,49785
Why did the narrator try to find a comfortable position ?,Because airline seats are small and cramped .,44072
"""I'm falling through a canyon"" suggests that the author is   _  .",dreaming a terrible dream,7384
The text is developed mainly by   _  .,giving examples,26651
The father at the airport to_.,see his daughter off,19806
The passage is mainly about,the wisdorn drawn from a speech,34546
Who believes the right most valued by free people is privacy?,Louis Brandeis,43168
Who came on behalf of Mr. Reynolds?,Rachel,12034
What does Los Angeles ' magic number refer to ?,The number of games they need to win to finish in first,39272
"When Ryan said he loved Sarah , why were they in a mud pit ?","The couple , Sarah and Ryan , like to play and mud pits are fun",30459
What profession did the narrator 's dad have ?,They were a shop owner .,12149
Why is the biking abilities of the subject impaired ?,There is little light .,41059
People enjoy listening to sad music because    _   .,sad music may help arouse positive emotions,21245
What may happen after planning the night to stay ?,I end up hanging out with them more than i expected to .,31465
Why was I getting pulled over and the other 2 people being pulled over at the same area ?,"The area is what is called a "" speed trap "" meaning police try to focus on a vulnerable or certain part of the road and try to ticket people .",18887
Chloe probably were cleaning the house for:,Few hours,57349
Why might the man not be able to go inside his former residence ?,There may be someone with a protection order against him .,51223
What is the main reason why Gabby has a nice figure?,She often swims.,16162
Which of the following is TRUE about piracy?,Back in the mid-20th century pirates did not appear so harmful as today's.,47951
Why is Nicolette so worried about the King?,not enough information,8048
Which of the following is true of the narrator ?,They care about their health .,18032
"How long probably is the movie, ""The Good, The Bad, and The Ugly?""",probably 2 hours,17550
"According to Susannah Stern, parents should   _  .",learn computer knowledge from their children,25836
"According to Tom Bouchard's research, the special similarities between twins   _  .",are not closely linked with where the twins are raised,15988
Which is the most important character of asbestos that the author wants to show us?,It is like thread,49355
Which of the following is true?,Some people agree that those who do not wear seat belts while driving should pay money for it.,16521
What state may i be from ?,Texas,39151
In New York the brightly-lit ball dropped   _  .,at the point between the old and the New Year,59372
When Joe became thin the first time it was because  _  .,he worried too much,42474
"In the writer's eyes, what is related to a black day?",Being refused during an important interview.,22071
What's the writer's attitude toward the academic advisor?,Understandable,28414
"According to the text, among 500 disengaged employees, how many would probably have the intention of leaving their company?",425.,4495
"According to the passage, slow reading  _  .",contributes to understanding among people,16728
What would have happened if he did not drop off the key ?,The front desk would not have let him check out .,4415
What kind of an environment is the advertising world described as?,Cruel and cutthroat.,21182
"According to the U. S. Forest Service officials, those who enter the area and damage the closed roads   _  .","shall be fined or put in prison, and may pay for the repairs",4220
"If your child joins in the Art Spot Birthday Parties, he will  _  .",create his own art project,58354
What may have caused you to review the topics ?,Some things needed to be revised .,32783
Which of the following suits students from families with a lower income?,Berea College.,8842
Why would the mother give the narrator a big hug ?,The narrator did well on a test .,43617
"If you've discovered that a certain device you bought at Best Buy is more expensive than one at another store,   _  .",the store will return the price differences,23296
Where was the battle at the Iranian/Afghan Border,Farah,39516
Where was the writer going?,to the college,36678
"The word ""bewildered"" in the text probably means   _  .",unable to understand,57904
How did most council members feel about the plan?,Satisfied.,39410
What 's a possible reason the writer made some things for the children ?,Because the writer would enjoy making them .,39701
Who was victimized?,the author,52868
In which part of a magazine can this text be found?,Science.,2333
Why does the president likely think that the investigation into Russia is a witch hunt?,he believes it is a personal vendetta by his rivals or enemies,10516
What David New said implies that   _  .,children will always find a new way to change their uniform,49626
What did Nicola do for work in Torino?,not enough information,44146
What may be the reason no one was practicing ?,It was very early in the morning and no one was up .,4531
Why is the narrator appearing so nervous and jittery in person ?,They have seen a beloved playwright .,7746
Today is   _  .,Saturday,32809
What kind of show am I auditioning for ?,T V Game show .,4208
The Please Touch Museum differs from the others mainly because   _  .,it combines learning with pleasure,40360
What color was her hair?,not enough information,36284
Who heckled the writer when he was making a speech?,Paul Cooper,43655
"By exclaiming ""You've got my cat,"" the neighbour implied that  _  .",she was surprised at seeing the cat there,53346
What happened after Johann Gutenberg's invention?,People could afford to read books.,50944
Why is the narrator supporting the suppression of emotions ?,The narrator is attempting to protect themselves .,40555
Why would someone take these pills ?,To drop weight .,35059
"In order to live in a meaningful way, the man began to   _  .",write to other people who needs encouragement,40753
"At the UPS Store, the price of a 3D object depends on  _",the size of the object,35145
From the passage we know that in SS 2016  _  .,accessories will be an important part of the fashion,13789
"As a student of the school, you are probably asked to   _  .",do a lot of reading in Greek and Latin,17568
Why would the narrator 's friend write a detailed journal like this ?,They were trying to impress potential romantic partners .,18640
Which is TRUE according to the passage ?,Mr Lazares likes the parents to come to school.,21773
"When a person falls in love,   _  .",he will experience complex feelings brought on by different regions of his brain,26663
What happened after we shook hands .,None of the above choices .,57637
"According to the passage, you can save fuel by    _   .",sharing cars with others on workdays,31384
What may happen after walking up the hill ?,We take breaks from walking .,32349
Why may the narrator feel tired all the time ?,The narrator is not getting enough sleep .,18396
"When the boy realized that he was two hours late, he   _  .",told his father a lie to avoid being criticized,49886
Why would the narrator have looked forward to school ?,To see someone they had a thing for .,47162
What may happen after they took their photos ?,They will share the photos with others .,2669
How did the narrators boyfriend feel about the piercings ?,He was attracted to them .,25376
What may be the reason for their charitable work ?,They believe that helping others is the right thing to do .,47716
Why am I focusing on one card ?,I will pay my debts off one at a time .,21652
What effect can the commitment mentioned by Dr. Bohlmann have on our work?,Helping us perform better.,24063
What may be the reason for them making those mistakes ?,They were too arrogant .,48754
"At the end of the story, the narrator is:",On his way to the restaurant,28947
Why would telling a nasty joke get the narrator out of a ticket ?,The cop was likely entertained by the joke .,53145
What might be the best title of this passage?,U.S First Lady Michal Obama visit China,5101
We can know from the passage that   _  .,a European company is going to dig for nickel,17648
How was the online magazine started?,Email,29787
Tofu came to Japan together with Buddhism because   _            .,it was a very important food in the diet of Buddhist priests,41776
Who might block the development of Brazil?,Getulo Vargas,40839
How long did the students test kinetic sculptures?,A few hours.,28809
Why were my parents so proud of me ?,I was able to budget my money so that I could by something nice for myself,56130
Why could Malcom communicate ?,He could speak a little foreign language .,40333
What religion does the narrator seem to subscribe to ?,The narrator is a Buddhist .,31131
We can learn from the text that the bulb   _  .,is now becoming a proud symbol of the locals in livermore,22969
What happened to the Crystal Palace in 1936?,It caught a terrible fire.,23677
How long will the Trump administration feel they will have legal battles?,throughout the whole presidency,53799
. What does the passage mainly tell us?,How to help pets lose weight.,21285
What help to understand the articles in the books?,Photographs and diagrams.,33480
What can we infer from what Christine Hoffman said?,The young man was persuaded by Christine Hoffman and decided to live on,39584
Why is Bangkok's medical tourism ahead of Singapore's?,Bangkok provides an excellent service at lower prices.,4566
What can be inferred from the hook hanging on the Car door?,The mad man had just been about to attack the girl.,38243
"When Mischa and Diego got together , how could it best be described ?",It was positive .,54508
What likely happened before this person decided to go out ?,They needed to get out because Mondays are hard days at work,23024
Why am I feeling the way I 'm feeling ?,I 'm terribly sick with the cold and it 's an unpleasant feeling .,57896
Jennifer decided to go home because   _  .,she realized her parents were worried,14961
The author mainly wants to tell us   _  .,their close and valuable friendship,33759
How did the narrator feel about their dinner ?,They were pleased with it .,51859
Why did I chit chat with my old manager ?,Because I enjoy talking to him .,52891
What can we conclude from the passage?,"Since the economic downturn, fast consumer lifestyles are less popular inChinanow.",12280
What may they do after this situation ?,They will try to return the dress .,56456
Which statement is true about men?,It is likely that men will consider themselves more attractive than they really are.,34802
Gandhi was an unusual leader   _  .,who owned wealth,28024
"According to the text, technology  _  .",may bring us illness,53089
Why may the narrator be ready to commit change to their life ?,People think she 's selfish .,23045
Which of the following is NOT parents' misunderstanding?,Their child is concerned about family harmony,50155
How long did Jan probably remain awake after going to bed?,several hours,55986
"According to the passage, we know that  _  .","when you read the poetry, pause where the poet has shown you",24956
How might they feel during their trip ?,They will feel immersed in the culture .,38348
What does the speaker mean when they say that the zucchinis are about to explode ?,"The zucchinis are nearly ready to be edible , and there are going to be several , ready to eat",41045
Why the dog was all fangs and fur?,Because of the fight,30428
What is Banks's first real task?,To watch a scientist secretly,5204
What do I do when we 're learning about advanced math ?,I do n't pay attention .,38444
What may be the reason for them getting home at 2 am ?,They were partying with their coworkers .,28542
What did the handball player do when he was not allowed a time out to change his gloves?,He wet his gloves by rubbing them across his T-shirt.,14022
Which of the following is a stage of succession as described in the passage?,Wild flowers growing in an unused parking lot,34841
How long did it probably take Chloe and Paul to walk through the house to Bee's room?,One minute.,8295
What can be the best title for the text?,Drawn to the Warmth,329
What can be inferred from the text?,Playing instruments can help us get along well with others.,47812
What may be the reason some went off to swim ?,They wanted to exercise before going to bed .,25993
The text is written mainly to   _  .,let people know more about spring peepers,23585
Goodall's most important discovery is that   _  .,some animals use tools,40756
"Why didn't ""the Voice"" make audience satisfied?",Because it was full of so many advisements that audience can't tolerate it.,28421
Why did n't the narrator go to see the midnight showing a couple of days ago ?,Because his wife was probably too tired after work .,30741
Where am I that it is so packed ?,I am at the DMV .,31753
Who considers giving waiters tips as an embarrassment?,Andre Spicer.,4238
Why are they having a problem with critiquing things now ?,It 's automatic for them now .,18017
Which of the following might NOT be the cause of car decline?,Poor quality of car.,23578
Where might we be ?,At a fair .,58953
What may be true about me ?,I am a student .,38614
Kantharos' probably has lasted:,Since the second half of the 4th century B.C. in South Italy,6940
Where can you spend the night in a tour?,Sovereign Hill.,14307
How does the Getty Center feel about the Getty Teen Lab internship?,They are proud and excited to be able to engage diverse youth,47435
How did the writer and his companion feel at the end of the day?,They were delighted with the spot they'd found.,55740
Why does the author recommend sweeping and mopping at a brisk pace?,More calories will be burned,14918
What does this passage mainly tell us?,High fuel prices' influences on school buses.,8771
Where did the old man put the fish?,In a basket.,4597
What may I be doing right now ?,Enjoying vacation,33007
How do Republicans feel about the election results?,nervous about the 2018 midterms,42915
What does Proehnik say about us?,We do not think silence to be beneficial,51742
What is turntablism ?,"It is the "" using of the turntable "" to create sounds and artistic type music .",13650
"According to the passage, Surviving Survivor is most probably  _  .",a game show,51317
Which of the following is true according to this passage ?,There are 30% of the population whose parents or grandparents come from France,23055
"at the end, lynch's priority is probably",promoting human rights,11646
What does the passage try to teach us?,Happiness comes from doing good deeds.,21381
What is mainly discussed in the passage?,Urban Sprawl,57074
What is the author's purpose in writing the text?,To advise readers to learn about music.,12316
What type of design does the narrator like ?,They like animal artwork .,57937
England started a colony in India in the    _   .,1600s,55190
People who are getting along well with their work  _  .,are likely to change with the situation,58367
What might have happened before they walked up the stairs ?,They might have made an appointment for 10:30,7254
"If you are interested in comedy, which books may you buy?",I'm Sorry I Haven't a Clue: The Best of Forty Years and Still Open All Hours.,59809
The example of Grace Kelly is given to show   _  .,people's attitude towards aging has changed,10931
"According to the passage, Camfed Ghana's first Girls' Career Camp is  _  .",a program to help poor girls to have ambition,22216
Bollywood movies are cheap to make because   _   .,each movie reuses things from other movies.,13172
It can be inferred from the passage that  _  .,the main character always follows a set pattern in the time-travel TV dramas in China,35057
The author's father wrote notes in pen   _  .,to both his family and his staff,9068
The teacher is probably,experienced,24244
"If Mother asks Gina to look after her brother now, what will she probably answer?",No problem!,40381
"According to the research, who may have the best memory in old age?",Computer programmers.,45651
What will happen this year ?,He will feel like he 's in a rut,42720
How might I value Alyssa ?,I might value visiting Alyssa more than going to a birthday party .,58287
Which of the following would be the best title of this passage?,"PhDs: High in number, low in quality",53295
Why did Hava 's mother pass away ?,None of the above choices .,35832
What is the main purpose of the article?,To express concern about recent trends in online news.,46384
Why is the narrator so sensitive to Igor ?,The narrator does not like being accused .,25701
Who had a major emotional investment in Miller?,The father.,24378
How long had the son been likely using drugs?,several months,3770
We can learn from the passage that businesses will  _  .,gain advantages by taking early action,36676
"To the writer, one benefit of having a basic mobile phone is that    _  .",it can be used as an excuse for his bad habits,56021
What may have happened during their time in Williamsburg ?,They were able to see a lot of historical sites .,55641
In Thailand a worker uses the gesture the wai to greet   _  .,his young boss,54749
How old may my son be right now ?,Five years old,19753
What did the writer say after shaking Martha's hand?,he told her he was sorry,32381
What might be in the back of my mind when worrying about this ?,I am concerned about identity fraud should someone get hold of it .,19893
What happened because of the alcohol ?,He noticed how pretty she was .,8635
Why does she have a man 's photo near her bed ?,She misses him .,58421
Why does the narrator need ear phones at the zoo ?,The zoo is in a foreign country .,10803
Why would the narrator feel rushed to do activities ?,They were hit earlier with bad weather .,47403
What event led to the author's decision to do a study?,They wanted to test if eating more at night really made a difference,48293
what may be the reason for them not being able to give blood ?,They are so afraid of needles that they get sick .,14306
What's the main reason of the Great Wall being destroyed?,The local people are short of culture knowledge.,50758
"According to Kraus, musical training contributes to the following EXCEPT   _  .",body fitness,47175
What may be the reason for the post ?,To describe my relationships,42972
Taking advantage of technology is encouraged because it   _,helps students stay in contact with others,163
"Fontaine won her Oscar for her role in the film of ""  _  "".",Suspicion,26770
What may be the holiday about to be celebrated ?,Christmas,9910
What does Plum Kettle want before she joins the women in the adventures?,A slim shape.,41429
When did Tillerson learn of his termination?,after an early morning tweet by Trump,36786
Why should schools partner with colleges?,to better prepare the students for their future careers,36811
What's Trond Giske's opinion?,It doesn't require a lot of money to make the finals splendid.,37155
The twins were watched closely by the doctors:,when rushed to the ICU,47934
What is the narrator hyping up ?,Prices on food .,29374
Who was greeted by Moon from the South Korean side of the border?,Kim Jong Un,57883
The author thought mothers grocery list was like what?,ordering unknown chemicals in a lab,25692
Why do so few people remember Sethen besides the narrator ?,Sethen was a member of a destroyed tribe .,14203
What is probably true of Lanni?,Lanni probably had to go to college to learn how to web design,36180
Why would the narrator get up a little earlier?,To get Monk's beard before it is sold out,20010
Why did Trump call the Tuesday afternoon gathering  on the White House South Lawn?,because Eagles team would not stand up at pregame National Anthem,51573
What is implied but not stated in the passage?,If one gets into the habit of relaxing every day he can overcome stress easily.,34277
"After the writer said ""Feel the fear, and do it anyway!"", she decided to  _  .",do an act of kindness,2413
Why are some impressed with Jacob 's behavior ?,He is a child .,4013
Why would the tourists subject themselves to walking ?,Public transportation was shut down .,5443
What has led the data retrieval guy to try to recover the files from the damaged hardrive ?,The speaker is attempting to recover meaningful data that they have temporarily lost access to,3404
What can you learn from the article?,The Earth Pledge may be an environmental organization.,28112
The passage is organized in the pattern of   _,time and events,17743
The advertisement is mainly aimed at   _  .,parents,3790
What could be the best title for the news?,Sustainable Development,24740
What may be a fact about their situation ?,They are having troubles finding somewhere to eat .,23857
What likely happened the next morning after this outing ?,The person likely woke up late for work,8165
Why did the speaker decide to straighten up the house before the agent came over ?,"They are planning to sell the house , hence the real estate agent , and they need it to be neat",51300
"58.We can learn from the passage even though our country spends 4% of GDP on education in 2012,_.",there might be nearly 100 countries ahead of China in this aspect,58071
What is it that I will be doing in the future ?,I will be taking a photo,44397
What can we infer from the passage?,Double 11 Day was created to get the single status over for young people.,48017
Why did the audience laugh loud at the pedestrians?,Their emotion was approved of by the show.,1648
The purpose of the passage is to   _  .,describe a newly discovered ring of Saturn,46087
What may be a fact about this person and their phone ?,They are impressed with their new iPhone .,3766
We can learn from the text that_.,the postal service has over the years become slower,35489
Careers in the public sector are more attractive because of their  _  .,greater stability,17129
How long has Sondra been probably performing for?,a few days,674
"According to this passage, what did Marian Anderson do between 1917 and 1929?",She sang for religious activities.,41276
What's the author's opinion on riches?,They are people's dreams and aspirations.,35947
"The author didn't expect that after she wrote her son's story for a newspaper,   _  .",many TV shows would want to interview her,46814
The scientists allowed the volunteers to keep their cell phones for a week in order to  _  .,let them leave their traces on their phones,58137
"After the end of this story, Trisha is:",Still prostituting,17356
What can we learn about Gilbert?,His performance inspired his mom.,31192
"From the passage, we know that   _  .",walking in central Australia takes a long time,26892
How long do you think DeRay McKesson spend in jail?,few days,50565
The writer uses the example of rat as food to show that   _  .,people may eat very different things,39420
Which of the following threats to wildlife is NOT mentioned in the passage?,Animal diseases.,29815
What will happen to Dean ?,He will be put in chains,6351
What question might Queen Bee have asked being told she could have pieced ears at five ?,None of the above choices .,28564
Why did the author want to cry when noticing the beautiful lady?,She envied what the lady owned.,58395
What would happen if they had a priest ?,They 'd be able to ressurect .,17930
When will Mark and I definitely go to McDonalds again ?,When we visit a new country together .,19862
Who had different drinks for a training study?,female athletes,9503
what may have happened before this discussion ?,My smallest puppy died,47691
